league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Coral,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Coral,h2h,draw,3.4
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Ladbrokes,h2h,home wins,1.95
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Ladbrokes,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Ladbrokes,h2h,draw,3.4
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Bet Victor,h2h,home wins,1.93
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Bet Victor,h2h,away wins,3.9
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Bet Victor,h2h,draw,3.4
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LiveScore Bet,h2h,home wins,1.91
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LiveScore Bet,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LiveScore Bet,h2h,draw,3.4
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Virgin Bet,h2h,home wins,1.91
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Virgin Bet,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Virgin Bet,h2h,draw,3.4
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Unibet,h2h,home wins,1.87
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Unibet,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Unibet,h2h,draw,3.65
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Casumo,h2h,home wins,1.88
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Casumo,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Casumo,h2h,draw,3.7
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Mr Green,h2h,home wins,1.88
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Mr Green,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Mr Green,h2h,draw,3.7
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LeoVegas,h2h,home wins,1.87
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LeoVegas,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,LeoVegas,h2h,draw,3.65
